iter	Passed	Remaining
0	2	213
1	4	211
2	6	219
3	8	209
4	11	211
5	13	210
6	15	209
7	18	209
8	20	208
9	22	206
10	25	209
11	28	209
12	31	210
13	34	210
14	36	209
15	39	207
16	42	205
17	44	202
18	47	203
19	50	203
20	53	202
21	57	202
22	60	202
23	63	201
24	66	199
25	69	198
26	72	195
27	75	194
28	79	193
29	82	191
30	85	190
31	88	188
32	92	187
33	95	185
34	98	183
35	102	181
36	105	179
37	108	177
38	112	175
39	115	173
40	118	171
41	120	166
42	123	163
43	125	160
44	128	157
45	131	154
46	134	151
47	137	148
48	139	145
49	142	142
50	144	138
51	147	136
52	149	132
53	152	129
54	154	126
55	156	123
56	159	120
57	161	117
58	164	114
59	166	111
60	169	108
61	171	105
62	174	102
63	176	99
64	179	96
65	182	93
66	184	91
67	187	88
68	190	85
69	192	82
70	195	79
71	197	76
72	200	74
73	202	71
74	205	68
75	207	65
76	210	62
77	212	60
78	215	57
79	217	54
80	220	51
81	222	48
82	225	46
83	227	43
84	230	40
85	232	37
86	235	35
87	238	32
88	240	29
89	243	27
90	245	24
91	248	21
92	250	18
93	253	16
94	255	13
95	258	10
96	260	8
97	263	5
98	265	2
99	268	0
